corroboration_id,case_id,feature_key,claim_count,page_count,direct_claim_count,possible_independent_count,source_pages_json,representative_quotes_json,machine_corroboration_score,status
136,161,shape:object,15,3,1,0,"[2, 3, 4]","[""The object was described as being “similar to the Eye or [sic] Sauron from Lord of the Rings, except without the pupil, or maybe an orange Storm Electrify bowling ball.” ¢ USPER6 stated the object “seemed to be hovering with zero resistance or moveme"", ""** Measurements later gathered by AARO assess the object to have been between 12-18 meters in diameter."", ""* Time of Day: Pre-dawn hours Image 1: Recreation of drawing provided by USPER6 of object seen in night vision goggles."", ""Agents pursued the “car” and as they got to within a few hundred feet of it, the object suddenly moved off the road over the desert without changing its orientation with respect to the observers, i.e., it appeared to move laterally, at an estimated s"", ""USPER6 described the object as a “thin line,” from the back whereas the other agent (USPERS) stated that “it almost looked like an ill defined, dark kite shape that had some rounded width to the sides.”* ¢ USPER6 used night vision goggles (NVGs) to v""]",1.0,machine_correlated_needs_human_review
131,161,shape:orb,9,2,0,1,"[1, 2]","[""“Orbs Launching Orbs” ¢ Location: Western U.S."", ""¢ Time of Day: Dusk (on two separate days) ¢ Three teams of two federal law enforcement special agents each (USPER1 through USPER6) independently describe seeing orange “orbs” in the sky emit/launch smaller red “orbs” in groups of two to four, with t"", ""Each time, the orange orb would appear, launch red orbs, then disappear."", ""The orange orb was only visible for one or two seconds."", ""The red orbs would generally move away from the orange “mother” orb in a horizontal path, but in a couple of instances, one red orb was stated to move “heading up at an angle,” while another witness stated sometimes the red orbs would “swoop down” af""]",1.0,machine_correlated_needs_human_review
140,161,color_brightness:dark,3,2,1,0,"[3, 4]","[""USPER6 described the object as a “thin line,” from the back whereas the other agent (USPERS) stated that “it almost looked like an ill defined, dark kite shape that had some rounded width to the sides.”* ¢ USPER6 used night vision goggles (NVGs) to v"", ""¢ Time of Day: Pre-dawn hours ¢ About 30 minutes after the “Dark Kite” sighting, federal law enforcement special agents (USPER5 and USPER6) returned to the same general area with another colleague (USPER7) in response to a report of another unauthori"", ""Within a few hundred meters of the “Dark Kite” sighting, two of the team members (USPER5 and USPER6) observed a kite-shaped object with a lighting pattern similar to the object seen previously.""]",0.8,machine_correlated_needs_human_review
133,161,color_brightness:red,2,2,0,0,"[1, 3]","[""The red orbs would generally move away from the orange “mother” orb in a horizontal path, but in a couple of instances, one red orb was stated to move “heading up at an angle,” while another witness stated sometimes the red orbs would “swoop down” af"", ""The “car” had two lights (one red and one white) that are about 2 to 3 feet off the ground.""]",0.5,machine_correlated_needs_human_review
142,161,color_brightness:bright,1,1,0,0,[4],"[""USPER5 stated that in the night vision goggles, they could e “vaguely see a bright star or two in the distance through the object, though somewhat more faint,” leading them to believe the object was somewhat transparent.""]",0.25,weak_machine_group
139,161,color_brightness:white,1,1,0,0,[3],"[""; White light ¢ Location: Western U.S.""]",0.25,weak_machine_group
137,161,motion:hovering,1,1,0,0,[2],"[""The object was described as being “similar to the Eye or [sic] Sauron from Lord of the Rings, except without the pupil, or maybe an orange Storm Electrify bowling ball.” ¢ USPER6 stated the object “seemed to be hovering with zero resistance or moveme""]",0.25,weak_machine_group
134,161,motion:launched,1,1,0,0,[1],"[""The red orbs would generally move away from the orange “mother” orb in a horizontal path, but in a couple of instances, one red orb was stated to move “heading up at an angle,” while another witness stated sometimes the red orbs would “swoop down” af""]",0.25,weak_machine_group
141,161,motion:moving,1,1,0,0,[3],"[""The object then began moving at about the speed of 15-20mph and appeared to “move up in height..., but [remain] a flat line.” The agent lost sight of the object after a few seconds.""]",0.25,weak_machine_group
135,161,sensor:helicopter,1,1,0,0,[2],"[""Size was difficult to determine, but it appeared to be similar in size to a “small helicopter cockpit.”** Witnesses were unable to clearly see any structure other than the glowing orb, though USPER6 noted that the object “did almost appear it might h""]",0.25,weak_machine_group
